"Type","lag","ADF","p.value"
"type1",0,-15.1329205543681,0.01
"type1",1,-11.6104354390886,0.01
"type1",2,-10.9716143588764,0.01
"type1",3,-9.80948097539592,0.01
"type1",4,-9.01212154417044,0.01
"type1",5,-8.71079390508633,0.01
"type2",0,-15.130079595591,0.01
"type2",1,-11.6119063562512,0.01
"type2",2,-10.9760917694986,0.01
"type2",3,-9.81494620986531,0.01
"type2",4,-9.02263762643822,0.01
"type2",5,-8.72681337664444,0.01
"type3",0,-15.1106541854969,0.01
"type3",1,-11.5965743177227,0.01
"type3",2,-10.9620372737598,0.01
"type3",3,-9.80267804963622,0.01
"type3",4,-9.00943326987357,0.01
"type3",5,-8.71248291870345,0.01
