"Type","lag","ADF","p.value"
"type1",0,-0.204807069575958,0.584947605877422
"type1",1,-0.703394475573785,0.427359115866506
"type1",2,-0.793153382827187,0.395302363276005
"type1",3,-0.661375968037379,0.442365725700936
"type1",4,-0.644871126036846,0.448260312129698
"type1",5,-0.602625089000909,0.463348182499675
"type2",0,-1.40993817681806,0.555739507253309
"type2",1,-2.15854328726587,0.26474345493913
"type2",2,-2.30109055696013,0.20798337303491
"type2",3,-2.11207528110334,0.283246284501339
"type2",4,-2.06014515545694,0.303924044175782
"type2",5,-2.05794547843704,0.304799920985491
"type3",0,-2.31028750223684,0.445142104321333
"type3",1,-3.15596391173825,0.0955234634934047
"type3",2,-3.35823727207879,0.0606487461933127
"type3",3,-3.12793632573651,0.100868915479363
"type3",4,-3.11737898136614,0.105314113108992
"type3",5,-3.07275186728725,0.124104476931683
