" Estimate"," Std. Error"," t value","Pr(>|t|)","Parameter","Model"
0.000400735220730126,0.000240278547786029,1.66779441786449,0.0953565443983626,"mu","ARCH(1)"
0.000230340048538503,0.00000620669480095106,37.111547437971,0,"omega","ARCH(1)"
0.309254066087636,0.0265347155090915,11.6546968812113,0,"alpha1","ARCH(1)"
0.000318218485259406,0.000207681872643555,1.53224006124774,0.125463206018448,"mu","GARCH(1,1)"
0.0000061197514043954,0.00000102365923775699,5.97830916644174,0.00000000225465535130809,"omega","GARCH(1,1)"
0.077966987622974,0.00897928863089053,8.68298044844578,0,"alpha1","GARCH(1,1)"
0.903994453812237,0.0103159678324973,87.6306002975778,0,"beta1","GARCH(1,1)"
0.000414955136602206,0.000242014933656968,1.71458484124109,0.0864213699278444,"mu","AR(1)-ARCH(1)"
-0.0620298252090594,0.0199699153314762,-3.10616365565101,0.00189531788015995,"ar1","AR(1)-ARCH(1)"
0.000226928868823059,0.00000635746238576473,35.6948818653155,0,"omega","AR(1)-ARCH(1)"
0.329051417179938,0.0292830493102237,11.2369246007811,0,"alpha1","AR(1)-ARCH(1)"
0.000329504580542118,0.000208091601937254,1.58345929136282,0.113316818162867,"mu","AR(1)-GARCH(1,1)"
-0.036485932564446,0.0166083848247778,-2.19683810011514,0.0280320109402468,"ar1","AR(1)-GARCH(1,1)"
0.00000606044672879024,0.00000102143151544104,5.93328738850734,0.00000000296928437393262,"omega","AR(1)-GARCH(1,1)"
0.0779327082152234,0.00903499706168365,8.62564842945292,0,"alpha1","AR(1)-GARCH(1,1)"
0.904259560854364,0.0103627218368769,87.260815747891,0,"beta1","AR(1)-GARCH(1,1)"
